,Unnamed: 0,class,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM,buggy
0,0,com.google.javascript.jscomp.PeepholeSimplifyRegExp,1,0,30,0,18,4,0,2,2,15.0,104,5.777777777777778,0
1,1,com.google.javascript.jscomp.MinimizeExitPoints,6,1,95,1,49,14,0,4,6,13.833333333333334,416,3.7142857142857144,1
2,2,com.google.javascript.jscomp.RenameLabels,10,9,58,1,15,3,0,1,9,10.2,428,9.511111111111113,1
3,3,com.google.javascript.jscomp.JsMessageExtractor,4,4,20,0,12,3,1,1,6,14.25,241,14.176470588235292,0
4,4,com.google.javascript.jscomp.Tracer,49,31,207,0,54,16,0,3,72,13.714285714285714,2135,8.54,0
5,5,com.google.javascript.jscomp.VerboseMessageFormatter,3,0,13,0,4,1,0,1,2,10.0,108,18.0,0
6,6,com.google.javascript.jscomp.DiagnosticType,9,5,16,2,1,0,0,1,12,6.777777777777778,243,27.0,0
7,7,com.google.javascript.jscomp.StrictModeCheck,12,13,107,1,20,7,0,3,12,11.75,220,2.1359223300970873,0
8,8,com.google.javascript.jscomp.JSModule,26,6,88,2,8,3,1,2,29,11.884615384615383,434,5.945205479452055,0
9,9,com.google.javascript.jscomp.JsMessageDefinition,3,3,3,0,1,0,0,1,3,16.333333333333332,213,71.0,0
10,10,com.google.javascript.jscomp.LiveVariablesAnalysis,16,5,104,0,54,11,0,8,6,12.5,364,3.872340425531915,1
11,11,com.google.javascript.jscomp.StatementFusion,6,0,53,0,16,4,0,7,2,23.833333333333332,161,3.425531914893617,0
12,12,com.google.javascript.jscomp.VariableVisibilityAnalysis,3,2,20,1,19,5,0,1,10,15.666666666666666,326,14.818181818181818,0
13,13,com.google.javascript.jscomp.FunctionRewriter,25,17,115,1,19,6,0,5,23,12.88,575,4.75206611570248,1
14,14,com.google.javascript.jscomp.CheckUnreachableCode,6,3,25,1,9,3,0,3,2,8.666666666666666,104,5.473684210526316,0
15,15,com.google.javascript.jscomp.DataFlowAnalysis,32,9,185,0,29,9,0,2,23,9.46875,1164,8.818181818181818,0
16,16,com.google.javascript.jscomp.RemoveUnusedVars,27,24,303,2,61,16,0,4,33,18.296296296296298,1001,2.997005988023952,1
17,17,com.google.javascript.jscomp.CollapseVariableDeclarations,6,7,69,1,23,7,0,3,10,12.333333333333334,313,4.742424242424242,1
18,18,com.google.javascript.jscomp.RemoveTryCatch,2,2,24,1,31,7,0,2,3,6.0,123,3.84375,0
19,19,com.google.javascript.jscomp.DiagnosticGroups,7,35,16,0,2,0,0,1,5,14.714285714285714,127,11.545454545454543,1
20,20,com.google.javascript.jscomp.ObjectPropertyStringPreprocess,3,6,52,1,27,6,0,6,2,10.666666666666666,139,4.088235294117647,0
21,21,com.google.javascript.jscomp.CheckSideEffects,7,7,60,1,24,8,0,4,4,9.142857142857142,167,3.2745098039215685,1
22,22,com.google.javascript.jscomp.FindExportableNodes,5,6,28,0,24,6,0,1,4,9.8,176,6.285714285714286,0
23,23,com.google.javascript.jscomp.PeepholeOptimizationsPass,15,8,48,1,13,4,0,2,4,9.4,147,2.161764705882353,1
24,24,com.google.javascript.jscomp.JvmMetrics,10,4,146,0,30,8,0,4,2,18.3,120,0.8888888888888888,0
25,25,com.google.javascript.jscomp.ByPathWarningsGuard,4,5,6,0,9,3,0,2,5,8.25,269,22.416666666666668,0
26,26,com.google.javascript.jscomp.DefaultPassConfig,154,121,573,0,170,51,0,3,128,8.194805194805195,1099,1.6114369501466277,0
27,27,com.google.javascript.jscomp.FunctionNames,8,13,26,2,13,3,0,2,2,12.0,167,5.566666666666666,0
28,28,com.google.javascript.jscomp.AbstractCommandLineRunner,101,69,514,0,68,19,2,9,95,18.08910891089109,2057,2.806275579809004,1
29,29,com.google.javascript.jscomp.ClosureCodeRemoval,4,11,40,1,22,6,0,0,16,5.75,321,7.642857142857143,0
30,30,com.google.javascript.jscomp.OptimizeReturns,6,1,56,2,22,7,0,6,5,9.833333333333334,220,4.150943396226415,0
31,31,com.google.javascript.jscomp.CheckRegExp,3,4,21,1,14,4,0,1,2,13.333333333333334,122,7.625,0
32,32,com.google.javascript.jscomp.ControlFlowAnalysis,43,13,399,2,54,14,0,19,29,13.348837209302326,1114,2.791979949874687,1
33,33,com.google.javascript.jscomp.NameReferenceGraphReport,9,1,114,0,35,6,0,4,12,18.11111111111111,539,6.056179775280899,0
34,34,com.google.javascript.jscomp.AnalyzePrototypeProperties,44,34,242,1,56,21,0,5,32,13.136363636363637,658,3.323232323232323,1
35,35,com.google.javascript.jscomp.PeepholeFoldConstants,35,8,481,0,97,26,0,39,22,17.457142857142856,474,0.713855421686747,1
36,36,com.google.javascript.jscomp.AbstractCompiler,54,2,54,1,1,0,0,1,53,16.90740740740741,973,194.6,0
37,37,com.google.javascript.jscomp.UseSite,2,3,3,0,1,0,0,1,2,7.0,121,60.5,0
38,38,com.google.javascript.jscomp.RescopeGlobalSymbols,8,6,97,1,23,7,0,6,6,10.5,411,5.074074074074074,0
39,39,com.google.javascript.jscomp.XtbMessageBundle,16,11,55,1,15,3,2,1,5,14.0,187,4.560975609756097,0
40,40,com.google.javascript.jscomp.CoalesceVariableNames,15,10,166,2,40,14,0,4,6,11.8,266,1.8472222222222223,1
41,41,com.google.javascript.jscomp.NameGenerator,4,7,19,0,16,4,0,2,8,13.0,244,6.256410256410256,0
42,42,com.google.javascript.jscomp.CheckPathsBetweenNodes,8,11,47,0,22,7,0,4,8,18.5,313,4.536231884057971,0
43,43,com.google.javascript.jscomp.MethodCompilerPass,11,5,89,1,24,4,0,1,12,12.454545454545457,272,4.0,1
44,44,com.google.javascript.jscomp.EmptyMessageBundle,3,0,4,1,1,0,0,1,5,11.666666666666666,127,42.333333333333336,0
45,45,com.google.javascript.jscomp.AnalyzeNameReferences,7,5,27,1,15,4,0,3,5,12.0,215,6.142857142857143,0
46,46,com.google.javascript.jscomp.RemoveUnusedClassProperties,5,4,54,2,16,4,0,3,3,11.6,154,3.347826086956522,0
47,47,com.google.javascript.jscomp.VarCheck,7,11,82,1,44,12,0,4,6,15.285714285714286,182,2.275,1
48,48,com.google.javascript.jscomp.CompilerInput,30,11,109,2,15,5,1,2,16,11.733333333333333,366,4.305882352941176,0
49,49,com.google.javascript.jscomp.ConvertToDottedProperties,2,1,18,1,13,2,0,0,2,6.0,117,8.357142857142858,0
50,50,com.google.javascript.jscomp.FieldCleanupPass,5,3,26,1,9,3,0,1,4,10.2,356,23.733333333333334,0
51,51,com.google.javascript.jscomp.DiagnosticGroup,6,4,13,1,6,2,0,2,12,7.833333333333333,219,15.642857142857142,0
52,52,com.google.javascript.jscomp.SymbolTable,96,28,572,1,39,12,0,9,53,14.96875,1548,3.127272727272727,0
53,53,com.google.javascript.jscomp.PrepareAst,10,2,69,1,14,4,0,1,8,17.2,282,4.476190476190476,1
54,54,com.google.javascript.jscomp.ControlStructureCheck,4,2,17,1,9,2,0,0,3,7.75,112,9.333333333333334,0
55,55,com.google.javascript.jscomp.ClosureRewriteClass,16,16,183,1,39,10,0,6,5,16.25,148,1.1297709923664123,0
56,56,com.google.javascript.jscomp.ReplaceMessagesForChrome,4,0,42,0,18,5,1,2,2,19.25,145,4.67741935483871,0
57,57,com.google.javascript.jscomp.ProcessDefines,18,23,129,1,41,11,0,2,22,15.38888888888889,569,4.552,0
58,58,com.google.javascript.jscomp.PreprocessorSymbolTable,9,3,22,2,5,1,0,1,3,11.22222222222222,117,9.0,0
59,59,com.google.javascript.jscomp.MarkNoSideEffectCalls,5,5,44,1,26,9,0,3,6,15.4,195,3.9,0
60,60,com.google.javascript.jscomp.PrintStreamErrorManager,3,3,16,0,7,2,0,0,4,13.333333333333334,178,19.77777777777778,0
61,61,com.google.javascript.jscomp.CodePrinter,39,25,126,0,20,4,0,6,28,12.974358974358974,682,3.647058823529412,1
62,62,com.google.javascript.jscomp.TypeCheck,39,50,692,2,182,20,0,6,33,15.794871794871796,1150,1.84,1
63,63,com.google.javascript.jscomp.PeepholeFoldWithTypes,2,0,23,0,30,9,0,2,3,14.0,237,7.181818181818182,0
64,64,com.google.javascript.jscomp.PassConfig,23,15,59,0,18,5,0,1,22,16.869565217391305,427,8.714285714285714,0
65,65,com.google.javascript.jscomp.AbstractPeepholeOptimization,13,1,35,0,10,3,0,1,16,17.076923076923077,428,17.833333333333332,0
66,66,com.google.javascript.jscomp.RenamePrototypes,15,14,120,1,32,8,0,5,16,15.8,563,4.265151515151516,1
67,67,com.google.javascript.jscomp.RhinoErrorReporter,13,8,33,0,6,2,0,2,3,9.384615384615383,147,5.444444444444445,0
68,68,com.google.javascript.jscomp.NameReferenceGraph,33,17,71,1,13,4,0,3,11,12.87878787878788,475,6.884057971014493,0
69,69,com.google.javascript.jscomp.UnreachableCodeElimination,8,4,68,2,25,6,0,5,4,14.0,383,5.319444444444445,1
70,70,com.google.javascript.jscomp.ReplaceCssNames,4,10,65,1,31,8,0,3,3,11.5,332,5.533333333333333,0
71,71,com.google.javascript.jscomp.ObjectPropertyStringPostprocess,2,1,27,1,20,4,0,2,2,6.0,144,6.857142857142857,0
72,72,com.google.javascript.jscomp.DefinitionSite,0,5,0,0,0,0,0,0,2,0.0,116,0.0,0
73,73,com.google.javascript.jscomp.GroupVariableDeclarations,6,1,45,2,32,8,0,2,3,10.5,332,7.377777777777778,0
74,74,com.google.javascript.jscomp.Strings,3,0,14,0,7,2,0,3,5,22.333333333333332,533,38.07142857142857,0
75,75,com.google.javascript.jscomp.CheckRequiresForConstructors,9,7,78,1,31,6,0,3,4,12.333333333333334,164,2.523076923076923,0
76,76,com.google.javascript.jscomp.MemoizedScopeCreator,7,2,25,2,7,2,0,1,4,14.857142857142858,187,9.35,0
77,77,com.google.javascript.jscomp.GatherRawExports,4,3,19,1,11,4,0,3,2,13.5,117,6.157894736842105,0
78,78,com.google.javascript.jscomp.ExpressionDecomposer,26,8,238,0,33,10,0,4,28,19.0,1066,4.9581395348837205,0
79,79,com.google.javascript.jscomp.JSModuleGraph,18,6,129,0,39,12,2,3,21,17.0,799,6.007518796992481,0
80,80,com.google.javascript.jscomp.InlineFunctions,74,31,365,1,34,11,0,4,34,15.27027027027027,641,1.896449704142012,1
81,81,com.google.javascript.jscomp.ShadowVariables,7,7,71,1,26,9,0,4,4,8.285714285714286,207,2.524390243902439,0
